Date,Description,Original Description,Category,Amount,Status,Transaction Type,Transaction Category
4/11/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-5.04,Posted,misc_expenses,miscellaneous
4/11/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-240.63,Posted,misc_expenses,miscellaneous
4/10/24,Virginia Beacva,TGC60008                 VIRGINIA BEACVA,Cash,-300,Posted,misc_expenses,miscellaneous
4/8/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-65.89,Posted,misc_expenses,miscellaneous
4/3/24,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-188.26,Posted,fixed_expenses,insurance
4/2/24,Taste Bayville F Virginia Beac,TST* TASTE - BAYVILLE F  Virginia BeacVA,Restaurants,-3.67,Posted,fixed_expenses,restaraunts
4/2/24,Taste Bayville F Virginia Beac,TST* TASTE - BAYVILLE F  Virginia BeacVA,Restaurants,-33.71,Posted,fixed_expenses,restaraunts
4/2/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-191.57,Posted,misc_expenses,miscellaneous
4/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
4/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
4/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
4/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-2500,Posted,savings,savings
3/28/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,3946.82,Posted,income,jeff_pay
3/27/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-39.13,Posted,misc_expenses,miscellaneous
3/26/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-76.69,Posted,misc_expenses,miscellaneous
3/26/24,Check #1647,CHECK # 0000001647,Check,-112.61,Posted,misc_expenses,miscellaneous
3/25/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-101.85,Posted,misc_expenses,miscellaneous
3/25/24,Brightwheel,BRGHTWHL* Herita BRGHTWHL*  ***********E9X4,Babysitter & Daycare,-186.37,Posted,fixed_expenses,education
3/21/24,PayPal Purchase,PAYPAL           INST XFER  ***********DROO,Uncategorized,-30,Posted,misc_expenses,miscellaneous
3/21/24,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********0992,Credit Card Payment,-591.84,Posted,misc_expenses,chase_credit_card
3/19/24,Brightwheel,brightwheel      BRGHTWHL*  ***********L3N7,Babysitter & Daycare,-186.37,Posted,fixed_expenses,education
3/18/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,4.95,Posted,misc_expenses,miscellaneous
3/18/24,Panera Bread,PANERA BREAD #601155 K   MECHANICSBURGPA,Fast Food,-33.64,Posted,fixed_expenses,restaraunts
3/18/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-50.64,Posted,misc_expenses,miscellaneous
3/15/24,Interest Paid,INTEREST PAID,Interest Income,0.02,Posted,income,miscellaneous
3/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
3/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
3/15/24,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation
3/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
3/13/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,3946.86,Posted,income,jeff_pay
3/12/24,Brightwheel,brightwheel      BRGHTWHL*  ***********B2X9,Babysitter & Daycare,-186.37,Posted,fixed_expenses,education
3/8/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-140.55,Posted,misc_expenses,miscellaneous
3/7/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1,Posted,misc_expenses,savings
3/5/24,Brightwheel,brightwheel      BRGHTWHL*  ***********I2L3,Babysitter & Daycare,-186.37,Posted,fixed_expenses,education
3/5/24,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-188.26,Posted,fixed_expenses,insurance
3/4/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-86.4,Posted,misc_expenses,miscellaneous
3/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
3/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
3/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
3/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3000,Posted,savings,savings
2/28/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,3809.35,Posted,income,jeff_pay
2/27/24,Brightwheel,brightwheel      BRGHTWHL*  ***********K7D9,Babysitter & Daycare,-186.37,Posted,fixed_expenses,education
2/26/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,66.18,Posted,misc_expenses,miscellaneous
2/26/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-121.64,Posted,misc_expenses,miscellaneous
2/21/24,ATM Fee Rebate,ATM REBATE,Atm Fee,2.99,Posted,income,miscellaneous
2/21/24,Belco Community Carlimechanicsburgpa,BELCO COMMUNITY5304 CARLIMECHANICSBURGPA,Cash,-22.99,Posted,misc_expenses,miscellaneous
2/20/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,84.17,Posted,misc_expenses,miscellaneous
2/20/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-156.22,Posted,misc_expenses,miscellaneous
2/20/24,Brightwheel,brightwheel      BRGHTWHL*  ***********V0H7,Babysitter & Daycare,-186.37,Posted,fixed_expenses,education
2/16/24,Interest Paid,INTEREST PAID,Interest Income,0.01,Posted,income,miscellaneous
2/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
2/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
2/15/24,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation
2/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
2/13/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,3809.39,Posted,income,jeff_pay
2/13/24,Brightwheel,brightwheel      BRGHTWHL*  ***********O9K8,Babysitter & Daycare,-186.37,Posted,fixed_expenses,education
2/12/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-130.9,Posted,misc_expenses,miscellaneous
2/6/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-155.1,Posted,misc_expenses,miscellaneous
2/6/24,Brightwheel,brightwheel      BRGHTWHL*  ***********G1J6,Babysitter & Daycare,-186.37,Posted,fixed_expenses,education
2/5/24,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-193.32,Posted,fixed_expenses,insurance
2/5/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1000,Posted,savings,savings
2/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
2/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
2/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
1/30/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,3809.34,Posted,income,jeff_pay
1/30/24,Brightwheel,brightwheel      BRGHTWHL*  ***********Y1A5,Babysitter & Daycare,-186.37,Posted,fixed_expenses,education
1/23/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,500,Posted,savings,savings
1/23/24,Brightwheel,brightwheel      BRGHTWHL*  ***********E4G8,Babysitter & Daycare,-186.37,Posted,fixed_expenses,education
1/22/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-32.41,Posted,misc_expenses,miscellaneous
1/22/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-262.34,Posted,misc_expenses,miscellaneous
1/19/24,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********9402,Credit Card Payment,-574.92,Posted,misc_expenses,chase_credit_card
1/16/24,Interest Paid,INTEREST PAID,Interest Income,0.03,Posted,income,miscellaneous
1/16/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
1/16/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
1/16/24,Brightwheel,brightwheel      BRGHTWHL*  ***********G3X5,Babysitter & Daycare,-186.37,Posted,fixed_expenses,education
1/16/24,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation
1/16/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
1/16/24,IRS Tax Payment,IRS              USATAXPYMT ***********4831,Federal Tax,-2000,Posted,fixed_expenses,taxes
