Date,Description,Original Description,Category,Amount,Status,Transaction Type,Transaction Category,key,month
2024-11-29,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********3755,Paycheck,4565,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_4565_11/29/24,2024-11
2024-11-29,Interest Paid,INTEREST PAID,Interest Income,0.27,Posted,income,miscellaneous,Interest Paid_0.27_11/29/24,2024-11
2024-11-26,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_11/26/24,2024-11
2024-11-18,Transfer to Venmo,VENMO            PAYMENT    ***********0384,Transfer,-5,Posted,misc_expenses,miscellaneous,Transfer to Venmo_-5_11/18/24,2024-11
2024-11-15,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_11/15/24,2024-11
2024-11-12,Mobile Deposit,DEPOSIT@MOBILE,Income,50,Posted,savings,savings,Mobile Deposit_50_11/12/24,2024-11
2024-11-12,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_11/12/24,2024-11
2024-11-05,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education,Department of Education_-243.42_11/5/24,2024-11
2024-11-01,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_11/1/24,2024-11
2024-10-31,Interest Paid,INTEREST PAID,Interest Income,0.29,Posted,income,miscellaneous,Interest Paid_0.29_10/31/24,2024-10
2024-10-30,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********1305,Paycheck,4180,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_4180_10/30/24,2024-10
2024-10-29,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_10/29/24,2024-10
2024-10-28,Transfer to Venmo,VENMO            PAYMENT    ***********2276,Transfer,-2,Posted,misc_expenses,miscellaneous,Transfer to Venmo_-2_10/28/24,2024-10
2024-10-24,Transfer from Venmo,VENMO            CASHOUT    ***********2849,Transfer,457,Posted,savings,miscellaneous,Transfer from Venmo_457_10/24/24,2024-10
2024-10-24,Transfer to Venmo,VENMO            ADDFUNDS   ***********1728,Transfer,-25,Posted,savings,miscellaneous,Transfer to Venmo_-25_10/24/24,2024-10
2024-10-24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1000,Posted,savings,savings,USAA Transfer_-1000_10/24/24,2024-10
2024-10-15,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_10/15/24,2024-10
2024-10-15,Mobile Deposit,DEPOSIT@MOBILE,Income,50,Posted,savings,miscellaneous,Mobile Deposit_50_10/15/24,2024-10
2024-10-15,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_10/15/24,2024-10
2024-10-03,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education,Department of Education_-243.42_10/3/24,2024-10
2024-10-01,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_10/1/24,2024-10
2024-10-01,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_10/1/24,2024-10
2024-09-30,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********0564,Paycheck,3355,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_3355_9/30/24,2024-09
2024-09-30,Interest Paid,INTEREST PAID,Interest Income,0.26,Posted,income,miscellaneous,Interest Paid_0.26_9/30/24,2024-09
2024-09-30,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-2000,Posted,savings,savings,USAA Transfer_-2000_9/30/24,2024-09
2024-09-17,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_9/17/24,2024-09
2024-09-16,USAA FUNDS TRANSFER CR,USAA FUNDS TRANSFER CR,Category Pending,1100,Posted,savings,savings,USAA FUNDS TRANSFER CR_1100_9/16/24,2024-09
2024-09-10,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-2500,Posted,savings,savings,USAA Transfer_-2500_9/10/24,2024-09
2024-09-04,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education,Department of Education_-243.42_9/4/24,2024-09
2024-09-03,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_9/3/24,2024-09
2024-09-03,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_9/3/24,2024-09
2024-08-30,Interest Paid,INTEREST PAID,Interest Income,0.25,Posted,income,miscellaneous,Interest Paid_0.25_8/30/24,2024-08
2024-08-30,Transfer to Venmo,VENMO            PAYMENT    ***********6604,Transfer,-45,Posted,misc_expenses,miscellaneous,Transfer to Venmo_-45_8/30/24,2024-08
2024-08-29,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********8786,Paycheck,3190,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_3190_8/29/24,2024-08
2024-08-22,Transfer to Venmo,VENMO            PAYMENT    ***********5240,Transfer,-76,Posted,fixed_expenses,child_care,Transfer to Venmo_-76_8/22/24,2024-08
2024-08-20,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_8/20/24,2024-08
2024-08-19,Mobile Deposit,DEPOSIT@MOBILE,Income,1276.93,Posted,savings,miscellaneous,Mobile Deposit_1276.93_8/19/24,2024-08
2024-08-19,Mobile Deposit,DEPOSIT@MOBILE,Income,5.25,Posted,savings,miscellaneous,Mobile Deposit_5.25_8/19/24,2024-08
2024-08-15,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_8/15/24,2024-08
2024-08-12,Transfer to Venmo,VENMO            PAYMENT    ***********2861,Transfer,-81,Posted,fixed_expenses,child_care,Transfer to Venmo_-81_8/12/24,2024-08
2024-08-09,Transfer to Venmo,VENMO            PAYMENT    ***********1185,Transfer,-72,Posted,fixed_expenses,child_care,Transfer to Venmo_-72_8/9/24,2024-08
2024-08-08,Transfer to Venmo,VENMO            PAYMENT    ***********5636,Transfer,-72,Posted,fixed_expenses,child_care,Transfer to Venmo_-72_8/8/24,2024-08
2024-08-07,Transfer to Venmo,VENMO            PAYMENT    ***********5527,Transfer,-72,Posted,fixed_expenses,child_care,Transfer to Venmo_-72_8/7/24,2024-08
2024-08-06,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_8/6/24,2024-08
2024-08-05,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education,Department of Education_-243.42_8/5/24,2024-08
2024-08-02,Transfer to Venmo,VENMO            PAYMENT    ***********8740,Transfer,-72,Posted,fixed_expenses,child_care,Transfer to Venmo_-72_8/2/24,2024-08
2024-08-01,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_8/1/24,2024-08
2024-08-01,Transfer to Venmo,VENMO            PAYMENT    ***********9618,Transfer,-72,Posted,fixed_expenses,child_care,Transfer to Venmo_-72_8/1/24,2024-08
2024-07-31,Interest Paid,INTEREST PAID,Interest Income,0.22,Posted,income,miscellaneous,Interest Paid_0.22_7/31/24,2024-07
2024-07-31,Transfer to Venmo,VENMO            PAYMENT    ***********8070,Transfer,-72,Posted,fixed_expenses,child_care,Transfer to Venmo_-72_7/31/24,2024-07
2024-07-29,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********3373,Paycheck,3085.8,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_3085.8_7/29/24,2024-07
2024-07-25,Transfer to Venmo,VENMO            PAYMENT    ***********6264,Transfer,-72,Posted,fixed_expenses,child_care,Transfer to Venmo_-72_7/25/24,2024-07
2024-07-23,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_7/23/24,2024-07
2024-07-15,USAA FUNDS TRANSFER CR,USAA FUNDS TRANSFER CR,Category Pending,1100,Posted,savings,savings,USAA FUNDS TRANSFER CR_1100_7/15/24,2024-07
2024-07-09,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_7/9/24,2024-07
2024-07-05,Transfer to Venmo,VENMO            PAYMENT    ***********1592,Transfer,-72,Posted,misc_expenses,child_care,Transfer to Venmo_-72_7/5/24,2024-07
2024-07-03,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education,Department of Education_-243.42_7/3/24,2024-07
2024-07-01,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_7/1/24,2024-07
2024-06-28,Interest Paid,INTEREST PAID,Interest Income,0.19,Posted,income,miscellaneous,Interest Paid_0.19_6/28/24,2024-06
2024-06-27,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********9991,Paycheck,1760,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_1760_6/27/24,2024-06
2024-06-27,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********9992,Paycheck,110,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_110_6/27/24,2024-06
2024-06-25,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_6/25/24,2024-06
2024-06-24,Transfer to Venmo,VENMO            PAYMENT    ***********1105,Transfer,-54,Posted,misc_expenses,child_care,Transfer to Venmo_-54_6/24/24,2024-06
2024-06-21,Transfer to Venmo,VENMO            PAYMENT    ***********1922,Transfer,-54,Posted,misc_expenses,child_care,Transfer to Venmo_-54_6/21/24,2024-06
2024-06-20,Transfer to Venmo,VENMO            PAYMENT    ***********8616,Transfer,-54,Posted,misc_expenses,child_care,Transfer to Venmo_-54_6/20/24,2024-06
2024-06-17,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_6/17/24,2024-06
2024-06-13,Transfer to Venmo,VENMO            PAYMENT    ***********6366,Transfer,-72,Posted,misc_expenses,child_care,Transfer to Venmo_-72_6/13/24,2024-06
2024-06-12,Transfer to Venmo,VENMO            PAYMENT    ***********6322,Transfer,-72,Posted,misc_expenses,child_care,Transfer to Venmo_-72_6/12/24,2024-06
2024-06-11,Transfer to Venmo,VENMO            PAYMENT    ***********3463,Transfer,-72,Posted,misc_expenses,child_care,Transfer to Venmo_-72_6/11/24,2024-06
2024-06-11,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_6/11/24,2024-06
2024-06-10,Transfer to Venmo,VENMO            PAYMENT    ***********0357,Transfer,-195,Posted,misc_expenses,miscellaneous,Transfer to Venmo_-195_6/10/24,2024-06
2024-06-04,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education,Department of Education_-243.42_6/4/24,2024-06
2024-06-03,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_6/3/24,2024-06
2024-05-31,Interest Paid,INTEREST PAID,Interest Income,0.2,Posted,income,miscellaneous,Interest Paid_0.2_5/31/24,2024-05
2024-05-31,Transfer to Venmo,VENMO            PAYMENT    ***********7766,Transfer,-15,Posted,misc_expenses,miscellaneous,Transfer to Venmo_-15_5/31/24,2024-05
2024-05-30,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********4187,Paycheck,3025,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_3025_5/30/24,2024-05
2024-05-30,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********2085,Paycheck,110,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_110_5/30/24,2024-05
2024-05-28,Transfer to Venmo,VENMO            PAYMENT    ***********0437,Transfer,-260,Posted,misc_expenses,miscellaneous,Transfer to Venmo_-260_5/28/24,2024-05
2024-05-28,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_5/28/24,2024-05
2024-05-15,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_5/15/24,2024-05
2024-05-14,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_5/14/24,2024-05
2024-05-13,Federal Tax Refund,IRS  TREAS 310     TAX REF  ***********0908,Federal Tax,4277,Posted,income,miscellaneous,Federal Tax Refund_4277_5/13/24,2024-05
2024-05-06,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,2700,Posted,savings,savings,USAA Transfer_2700_5/6/24,2024-05
2024-05-06,Transfer to Venmo,VENMO            PAYMENT    ***********9445,Transfer,-100,Posted,misc_expenses,child_care,Transfer to Venmo_-100_5/6/24,2024-05
2024-05-03,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education,Department of Education_-243.42_5/3/24,2024-05
2024-05-01,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_5/1/24,2024-05
2024-04-30,Defense Finance and Accounting Service,DFAS-CLEVELAND   PPTAS      ***********1645,Paycheck,4393.92,Posted,income,jeff_pay,Defense Finance and Accounting Service_4393.92_4/30/24,2024-04
2024-04-30,Mobile Deposit,DEPOSIT@MOBILE,Income,693.09,Posted,income,miscellaneous,Mobile Deposit_693.09_4/30/24,2024-04
2024-04-30,Interest Paid,INTEREST PAID,Interest Income,0.08,Posted,income,miscellaneous,Interest Paid_0.08_4/30/24,2024-04
2024-04-30,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_4/30/24,2024-04
2024-04-29,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********1938,Paycheck,3520,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_3520_4/29/24,2024-04
2024-04-29,Transfer to Venmo,VENMO            PAYMENT    ***********5254,Transfer,-65,Posted,misc_expenses,child_care,Transfer to Venmo_-65_4/29/24,2024-04
2024-04-23,Mobile Deposit,DEPOSIT@MOBILE,Income,800,Posted,income,miscellaneous,Mobile Deposit_800_4/23/24,2024-04
2024-04-23,State of Ohio Taxrefunds,STATE OF OHIO    TAXREFUNDS ***********5402,Taxes,400,Posted,income,taxes,State of Ohio Taxrefunds_400_4/23/24,2024-04
2024-04-16,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_4/16/24,2024-04
2024-04-15,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_4/15/24,2024-04
2024-04-03,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education,Department of Education_-243.42_4/3/24,2024-04
2024-04-02,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_4/2/24,2024-04
2024-04-01,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,2500,Posted,savings,savings,USAA Transfer_2500_4/1/24,2024-04
2024-04-01,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_4/1/24,2024-04
2024-03-29,Interest Paid,INTEREST PAID,Interest Income,0.05,Posted,income,miscellaneous,Interest Paid_0.05_3/29/24,2024-03
2024-03-25,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********7665,Paycheck,3520,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_3520_3/25/24,2024-03
2024-03-22,Transfer to Venmo,VENMO            PAYMENT    ***********0158,Transfer,-40,Posted,misc_expenses,child_care,Transfer to Venmo_-40_3/22/24,2024-03
2024-03-19,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_3/19/24,2024-03
2024-03-15,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_3/15/24,2024-03
2024-03-07,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-500,Posted,savings,savings,USAA Transfer_-500_3/7/24,2024-03
2024-03-07,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,savings,savings,USAA Transfer_-3200_3/7/24,2024-03
2024-03-05,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education,Department of Education_-243.42_3/5/24,2024-03
2024-03-05,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_3/5/24,2024-03
2024-03-01,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,3000,Posted,savings,savings,USAA Transfer_3000_3/1/24,2024-03
2024-03-01,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_3/1/24,2024-03
2024-02-29,Interest Paid,INTEREST PAID,Interest Income,0.05,Posted,income,miscellaneous,Interest Paid_0.05_2/29/24,2024-02
2024-02-28,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********8650,Paycheck,3920,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_3920_2/28/24,2024-02
2024-02-28,Transfer from Venmo,VENMO            CASHOUT    ***********4408,Transfer,198.9,Posted,misc_expenses,miscellaneous,Transfer from Venmo_198.9_2/28/24,2024-02
2024-02-26,Transfer to Venmo,VENMO            PAYMENT    ***********9346,Transfer,-40,Posted,misc_expenses,child_care,Transfer to Venmo_-40_2/26/24,2024-02
2024-02-26,Transfer to Venmo,VENMO            PAYMENT    ***********5686,Transfer,-350,Posted,misc_expenses,miscellaneous,Transfer to Venmo_-350_2/26/24,2024-02
2024-02-21,Transfer to Venmo,VENMO            PAYMENT    ***********9594,Transfer,-40,Posted,misc_expenses,child_care,Transfer to Venmo_-40_2/21/24,2024-02
2024-02-20,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment,Vanguard_-500_2/20/24,2024-02
2024-02-16,Transfer to Venmo,VENMO            PAYMENT    ***********2560,Transfer,-40,Posted,misc_expenses,child_care,Transfer to Venmo_-40_2/16/24,2024-02
2024-02-15,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_2/15/24,2024-02
2024-02-06,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-1000,Posted,investment,investment,Vanguard_-1000_2/6/24,2024-02
2024-02-05,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1000,Posted,savings,savings,USAA Transfer_1000_2/5/24,2024-02
2024-02-05,Mobile Deposit,DEPOSIT@MOBILE,Income,110,Posted,income,miscellaneous,Mobile Deposit_110_2/5/24,2024-02
2024-02-05,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education,Department of Education_-243.42_2/5/24,2024-02
2024-02-01,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_2/1/24,2024-02
2024-01-31,Interest Paid,INTEREST PAID,Interest Income,0.06,Posted,income,miscellaneous,Interest Paid_0.06_1/31/24,2024-01
2024-01-29,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********9018,Paycheck,2790,Posted,income,elaina_pay,Adp Workmarket Direct Deposit_2790_1/29/24,2024-01
2024-01-23,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-500,Posted,savings,savings,USAA Transfer_-500_1/23/24,2024-01
2024-01-23,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-1000,Posted,investment,investment,Vanguard_-1000_1/23/24,2024-01
2024-01-22,Mobile Deposit,DEPOSIT@MOBILE,Income,400,Posted,income,miscellaneous,Mobile Deposit_400_1/22/24,2024-01
2024-01-19,Transfer to Venmo,VENMO            PAYMENT    ***********4890,Transfer,-45,Posted,misc_expenses,child_care,Transfer to Venmo_-45_1/19/24,2024-01
2024-01-17,Ohtaxites Ohincometx,8052-1OHTAXITES  OHINCOMETX ***********4805,Taxes,-200,Posted,fixed_expenses,taxes,Ohtaxites Ohincometx_-200_1/17/24,2024-01
2024-01-16,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings,USAA Transfer_1100_1/16/24,2024-01
2025-01-16,Verizon,VERIZON*RECURRING PAY    800-VERIZON  FL,Utilities,-100.59,Posted,fixed_expenses,NA,Verizon_-100.59_1/16/25,2025-01
2025-01-15,ExxonMobil,EXXON 7-ELEVEN 38161     VIRGINIA BEACVA,Gas,-58.29,Posted,fixed_expenses,NA,ExxonMobil_-58.29_1/15/25,2025-01
2025-01-15,Brightwheel,BRGHTWHL* FRANCIS ASBU   MYBRIGHTWHEELCA,Babysitter & Daycare,-494.33,Posted,fixed_expenses,NA,Brightwheel_-494.33_1/15/25,2025-01
2025-01-14,Target,TARGET        00010470   VIRGINIA BEACVA,Shopping,26.5,Posted,misc_expenses,NA,Target_26.5_1/14/25,2025-01
2025-01-13,Shorebreak Pizza Online,SHOREBREAK PIZZA (ONLINE 757-4819393  VA,Food & Dining,-23.95,Posted,misc_expenses,NA,Shorebreak Pizza Online_-23.95_1/13/25,2025-01
2025-01-13,Care.com,CARE.COM 737-202-3114    CARE.COM     TX,Babysitter & Daycare,-38.95,Posted,fixed_expenses,NA,Care.com_-38.95_1/13/25,2025-01
2025-01-11,Taste Bayville Far,TST*TASTE - BAYVILLE FAR 757-464-1566 VA,Restaurants,-10.02,Posted,misc_expenses,NA,Taste Bayville Far_-10.02_1/11/25,2025-01
2025-01-10,Kohl's,KOHLS #0650              VIRGINIA BEACVA,Shopping,181.4,Posted,misc_expenses,NA,Kohl's_181.4_1/10/25,2025-01
2025-01-10,Apple,APPLE.COM/BILL           866-712-7753 CA,Electronics & Software,-10.74,Posted,misc_expenses,NA,Apple_-10.74_1/10/25,2025-01
2025-01-10,Starbucks,STARBUCKS 21598          VIRGINIA BEACVA,Coffee Shops,-11.2,Posted,misc_expenses,NA,Starbucks_-11.2_1/10/25,2025-01
2025-01-10,Navy Exchange,NEX FUEL 050039          VIRGINIA BEACVA,Gas,-37.89,Posted,fixed_expenses,NA,Navy Exchange_-37.89_1/10/25,2025-01
2025-01-10,Little Creek Comm Virginia Beacva,LITTLE CREEK COMM        VIRGINIA BEACVA,Groceries,-101.76,Posted,fixed_expenses,NA,Little Creek Comm Virginia Beacva_-101.76_1/10/25,2025-01
2025-01-09,Old Navy,OLD NAVY ON-LINE         800-6536289  OH,Clothing,81.11,Posted,misc_expenses,NA,Old Navy_81.11_1/9/25,2025-01
2025-01-09,Old Navy,OLD NAVY US 3983         VIRGINIA BEACVA,Clothing,59.9,Posted,misc_expenses,NA,Old Navy_59.9_1/9/25,2025-01
2025-01-09,Bobos Fine Chicken Res,BOBOS FINE CHICKEN RES   757-6351279  VA,Food & Dining,-16.65,Posted,misc_expenses,NA,Bobos Fine Chicken Res_-16.65_1/9/25,2025-01
2025-01-09,Med Capital Digestive,MED*CAPITAL DIGESTIVE    240-485-5203 MD,Doctor,-62.06,Posted,fixed_expenses,NA,Med Capital Digestive_-62.06_1/9/25,2025-01
2025-01-08,Shorebreak Pizza & Taphou,SHOREBREAK PIZZA & TAPHOU757-8552071  VA,Food & Dining,-5.18,Posted,misc_expenses,NA,Shorebreak Pizza & Taphou_-5.18_1/8/25,2025-01
2025-01-08,Kohl's,KOHLS #0650              VIRGINIA BEACVA,Shopping,-12.9,Posted,misc_expenses,NA,Kohl's_-12.9_1/8/25,2025-01
2025-01-08,Shorebreak Pizza Virginia Beac,Shorebreak Pizza         Virginia BeacVA,Food & Dining,-40.47,Posted,misc_expenses,NA,Shorebreak Pizza Virginia Beac_-40.47_1/8/25,2025-01
2025-01-07,Hilton Adv,HILTON ADVPURCH8002367113MEMPHIS      TN,Hotel,135.54,Posted,misc_expenses,NA,Hilton Adv_135.54_1/7/25,2025-01
2025-01-07,Walmart,WM SUPERCENTER #4064     VIRGINIA BEACVA,Shopping,7.39,Posted,misc_expenses,NA,Walmart_7.39_1/7/25,2025-01
2025-01-07,Chick-fil-A,CHICK-FIL-A #01081       757-437-8928 VA,Fast Food,-27.09,Posted,misc_expenses,NA,Chick-fil-A_-27.09_1/7/25,2025-01
2025-01-06,Walmart,WAL-MART #4064           VIRGINIA BEACVA,Shopping,37.08,Posted,misc_expenses,NA,Walmart_37.08_1/6/25,2025-01
2025-01-06,Panda Express,PANDA EXPRESS 2949A      VIRGINIA BEACVA,Fast Food,-12.15,Posted,misc_expenses,NA,Panda Express_-12.15_1/6/25,2025-01
2025-01-06,Little Caesars,LITTLE CAESARS 0629 0003 757-363-7992 VA,Fast Food,-12.59,Posted,misc_expenses,NA,Little Caesars_-12.59_1/6/25,2025-01
2025-01-06,Kroger,KROGER #532              VIRGINIA BEACVA,Groceries,-117.28,Posted,misc_expenses,NA,Kroger_-117.28_1/6/25,2025-01
2025-01-05,Amazon,AMAZON MKTPL*ZP0Y94R40   Amzn.com/billWA,Shopping,-10.59,Posted,misc_expenses,NA,Amazon_-10.59_1/5/25,2025-01
2025-01-05,E-ZPass,NJ EZPASS                888-288-6865 NJ,Auto & Transport,-25,Posted,fixed_expenses,NA,E-ZPass_-25_1/5/25,2025-01
2025-01-05,Chipotle,CHIPOTLE 1156            VIRGINIA BEACVA,Fast Food,-31,Posted,misc_expenses,NA,Chipotle_-31_1/5/25,2025-01
2025-01-05,Walmart,WM SUPERCENTER #4064     VIRGINIA BEACVA,Shopping,-224.26,Posted,misc_expenses,NA,Walmart_-224.26_1/5/25,2025-01
2025-01-04,Food Lion,FOOD LION #0391          VIRGINIABEACHVA,Groceries,-7.06,Posted,misc_expenses,NA,Food Lion_-7.06_1/4/25,2025-01
2025-01-04,Sheetz,SHEETZ 0491   00004911   ZION CROSSROAVA,Gas,-16.08,Posted,fixed_expenses,NA,Sheetz_-16.08_1/4/25,2025-01
2025-01-04,Green Clean Auto Wash Virginia Beacva,GREEN CLEAN AUTO WASH-   VIRGINIA BEACVA,Service & Parts,-22,Posted,misc_expenses,NA,Green Clean Auto Wash Virginia Beacva_-22_1/4/25,2025-01
2025-01-04,Shorebreak Pizza Online,SHOREBREAK PIZZA (ONLINE 757-4819393  VA,Food & Dining,-23.95,Posted,misc_expenses,NA,Shorebreak Pizza Online_-23.95_1/4/25,2025-01
2025-01-04,Sheetz,SHEETZ 2491   00024919   ZION CROSSROAVA,Gas,-36.31,Posted,fixed_expenses,NA,Sheetz_-36.31_1/4/25,2025-01
2025-01-04,Hampton Inn,HAMPTON INN              LEWISBURG    WV,Hotel,-137.03,Posted,misc_expenses,NA,Hampton Inn_-137.03_1/4/25,2025-01
2025-01-03,ExxonMobil,EXXON MOSSY T + C        SCARBRO      WV,Gas,-2.53,Posted,misc_expenses,NA,ExxonMobil_-2.53_1/3/25,2025-01
2025-01-03,Fort Findlay Coffee &findlay,SQ *FORT FINDLAY COFFEE &Findlay      OH,Coffee Shops,-23.85,Posted,misc_expenses,NA,Fort Findlay Coffee &findlay_-23.85_1/3/25,2025-01
